Latitude,Longitude,Crime Description,Count,Hour,Crime Frequency
33.7152,-118.3084,DOCUMENT FORGERY / STOLEN FELONY,2,4,2
33.7152,-118.2929,INTIMATE PARTNER - SIMPLE ASSAULT,1,9,1
33.7152,-118.2916,BURGLARY FROM VEHICLE,2,21,1
33.7152,-118.2907,BATTERY - SIMPLE ASSAULT,1,17,2
33.7152,-118.2898,BURGLARY FROM VEHICLE,2,0,1
33.7152,-118.2889,BURGLARY,1,9,1
33.7152,-118.2879,"BUNCO, GRAND THEFT",1,11,1
33.7152,-118.2872,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,14,1
33.7154,-118.2941,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,16,1
33.7155,-118.3067,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,18,1
33.7156,-118.3147,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,8,1
33.7156,-118.3094,ARSON,1,5,1
33.7156,-118.3038,BURGLARY FROM VEHICLE,1,3,1
33.7157,-118.3147,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,16,1
33.7157,-118.2849,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,16,1
33.7158,-118.2907,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,12,1
33.7159,-118.3047,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2,0,2
33.7159,-118.2929,THEFT PLAIN - PETTY ($950 & UNDER),1,0,1
33.716,-118.3082,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2,12,2
33.716,-118.2864,THEFT OF IDENTITY,1,12,1
33.7161,-118.2929,VEHICLE - STOLEN,2,9,1
33.7161,-118.2916,VEHICLE - STOLEN,4,12,2
33.7161,-118.2911,VEHICLE - STOLEN,1,6,1
33.7161,-118.2907,INTIMATE PARTNER - SIMPLE ASSAULT,4,17,3
33.7161,-118.2889,INTIMATE PARTNER - SIMPLE ASSAULT,2,10,2
33.7162,-118.3059,ARSON,2,2,1
33.7163,-118.3081,INTIMATE PARTNER - SIMPLE ASSAULT,1,8,1
33.7163,-118.3074,THEFT PLAIN - PETTY ($950 & UNDER),1,6,1
33.7166,-118.3182,BURGLARY FROM VEHICLE,7,9,2
33.7166,-118.3011,"BUNCO, GRAND THEFT",1,6,1
33.7167,-118.2842,VEHICLE - STOLEN,10,17,5
33.7168,-118.3,BATTERY - SIMPLE ASSAULT,3,9,3
33.7169,-118.3098,THEFT OF IDENTITY,1,10,1
33.7169,-118.2943,VEHICLE - STOLEN,2,4,1
33.7169,-118.2929,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,10,1
33.7169,-118.2861,THEFT OF IDENTITY,1,15,1
33.717,-118.3185,BATTERY - SIMPLE ASSAULT,1,13,1
33.717,-118.3056,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,6,1
33.717,-118.302,BATTERY - SIMPLE ASSAULT,1,3,1
33.717,-118.2929,BURGLARY FROM VEHICLE,1,22,1
33.717,-118.2917,BURGLARY FROM VEHICLE,2,3,3
33.717,-118.2907,VEHICLE - STOLEN,3,19,2
33.717,-118.2898,THEFT OF IDENTITY,4,17,2
33.717,-118.2889,INTIMATE PARTNER - SIMPLE ASSAULT,4,11,4
33.717,-118.2879,VEHICLE - STOLEN,2,11,1
33.7171,-118.2951,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2,22,3
33.7172,-118.2953,BURGLARY,2,0,2
33.7173,-118.3188,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",3,17,3
33.7173,-118.3086,"BURGLARY, ATTEMPTED",1,18,2
33.7173,-118.303,BATTERY - SIMPLE ASSAULT,1,2,1
33.7173,-118.3029,BATTERY - SIMPLE ASSAULT,1,0,2
33.7174,-118.3066,THEFT PLAIN - PETTY ($950 & UNDER),1,9,1
33.7174,-118.3053,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,12,1
33.7174,-118.2962,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,19,1
33.7174,-118.2929,VEHICLE - STOLEN,1,21,1
33.7175,-118.2826,BURGLARY FROM VEHICLE,10,21,11
